START_DATE,START_TIME,START_TIME_ET,SUBJECT,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
07/16/13,08:00 PM,08:00 PM,AL All-Stars at NL All-Stars,Citi Field,,07/16/13,07/16/13,11:00 PM,11:00 PM,FALSE,TRUE,07/16/13,07:00 PM,07:00 PM,FREE,BUSY
07/29/13,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/29/13,07/29/13,10:05 PM,10:05 PM,FALSE,TRUE,07/29/13,06:05 PM,06:05 PM,FREE,BUSY
07/30/13,03:33 AM,03:33 AM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/30/13,07/30/13,06:33 AM,06:33 AM,FALSE,TRUE,07/30/13,02:33 AM,02:33 AM,FREE,BUSY
07/30/13,04:05 PM,04:05 PM,Cardinals at Pirates,PNC Park,"Local TV: MLBN -- ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/30/13,07/30/13,07:05 PM,07:05 PM,FALSE,TRUE,07/30/13,03:05 PM,03:05 PM,FREE,BUSY
07/31/13,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ESPN -- ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",07/31/13,07/31/13,10:05 PM,10:05 PM,FALSE,TRUE,07/31/13,06:05 PM,06:05 PM,FREE,BUSY
08/01/13,07:05 PM,07:05 PM,Cardinals at Pirates,PNC Park,"Local TV: ROOT SPORTS -- MLBN ----- Local Radio: KDKA-FM 93.7",08/01/13,08/01/13,10:05 PM,10:05 PM,FALSE,TRUE,08/01/13,06:05 PM,06:05 PM,FREE,BUSY
08/02/13,07:05 PM,07:05 PM,Rockies at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/02/13,08/02/13,10:05 PM,10:05 PM,FALSE,TRUE,08/02/13,06:05 PM,06:05 PM,FREE,BUSY
08/03/13,07:05 PM,07:05 PM,Rockies at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/03/13,08/03/13,10:05 PM,10:05 PM,FALSE,TRUE,08/03/13,06:05 PM,06:05 PM,FREE,BUSY
08/04/13,01:35 PM,01:35 PM,Rockies at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/04/13,08/04/13,04:35 PM,04:35 PM,FALSE,TRUE,08/04/13,12:35 PM,12:35 PM,FREE,BUSY
08/06/13,07:05 PM,07:05 PM,Marlins at Pirates,PNC Park,"Local TV: ROOT SPORTS ----- Local Radio: KDKA-FM 93.7",08/06/13,08/06/13,10:05 PM,10:05 PM,FALSE,TRUE,08/06/13,06:05 PM,06:05 PM,FREE,BUSY
